"listing_id","listing","advertised_price","distance_miles","distance_band","beds","manual_classification","evidence_note","reviewed_date","prior_text_judgment","prior_text_audit_status","prior_text_evidence","saved_photo_count","original_listing_url"
"ocpwwwe8yh","FURNISHED TOWNHOME RENTAL – 10 Mins to NCSU - 3 Bedroom - starting $750 per room","$750","4.073",">3–5 mi","4 Beds","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","FURNISHED TOWNHOME RENTAL – 10 Mins to NCSU - 3 Bedroom - starting $750 per room","17","https://offcampus.dasa.ncsu.edu/housing/property/furnished-townhome-rental-10-mins-to-ncsu-3-bedroom-starting-750-per-room/ocpwwwe8yh"
"5je4q3n","Signature 1505","$650 - $1,305","1.33957903",">1–3 mi","2 - 4 Beds","Private bedroom","","2026-09-20","Yes — explicit","Confirmed exclusive bedroom","Each apartment features private bedrooms and bathrooms for added comfort and personal space, along with stylish modern finishes including granite countertops, stainless steel appliances, and contemporary furnishings.","35","https://offcampus.dasa.ncsu.edu/housing/property/signature-1505/5je4q3n"
"h2l8mh2","Redfield Villages","$799 - $899","0.562960879","0–1 mi","2 - 5 Beds","Private bedroom","","2026-09-20","Yes — explicit","Confirmed exclusive bedroom","Each home features private bedrooms, hardwood floors throughout, tiled bathroom floors, and in-unit washers and dryers.","35","https://offcampus.dasa.ncsu.edu/housing/property/redfield-villages/h2l8mh2"
"ocpszex2v4","Spacious bedroom with private bath in 2BR townhome – 5 minutes to NC State","$800","0.541658593","0–1 mi","2 Beds","Private bedroom","","2026-09-20","Yes — explicit","Confirmed exclusive bedroom","Each bedroom is spacious enough for a bed, desk, and additional furniture, and the layout is perfect for two roommates who want separate, private bedroom/bathroom areas.","20","https://offcampus.dasa.ncsu.edu/housing/property/spacious-bedroom-with-private-bath-in-2br-townhome-5-minutes-to-nc-state/ocpszex2v4"
"jjs8f07","Village Green Student Housing","$649 - $839","1.932509975",">1–3 mi","3 - 4 Beds","Private bedroom","","2026-09-20","Unknown","Unclear from saved text","We have spacious two, three, and four-bedroom floorplans that will fit you and your crew's lifestyle.","35","https://offcampus.dasa.ncsu.edu/housing/property/village-green-student-housing/jjs8f07"
"0pm7tt3","Campus West at Tryon","$699","2.874120418",">1–3 mi","3 Beds","Private bedroom","","2026-09-20","Unknown","Unclear from saved text","Campus West at Tryon","32","https://offcampus.dasa.ncsu.edu/housing/property/campus-west-at-tryon/0pm7tt3"
"ocpbhbkvy9","Voyager House","$800","1.884049975",">1–3 mi","1 Bed","Private bedroom","","2026-09-20","Yes — explicit","Confirmed exclusive bedroom","Private spacious room upstairs, fully furnished with full size bed, end table, desk, and dresser.","11","https://offcampus.dasa.ncsu.edu/housing/property/voyager-house/ocpbhbkvy9"
"e13mz5m","University Suites Student Housing","$699 - $799","2.29213488",">1–3 mi","3 - 4 Beds","Private bedroom","","2026-09-20","Unknown","Unclear from saved text","Our pet-friendly three-bedroom and four-bedroom townhome apartments are partially furnished and come with features and amenities you'll love, including a complimentary shuttle to NCSU campus.","35","https://offcampus.dasa.ncsu.edu/housing/property/university-suites-student-housing/e13mz5m"
"ocpepvxvln","Village Green Student Living","$831","1.815869405",">1–3 mi","1 Bed","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","Subletting one room in a four bedroom apartment near NC State's campus.","1","https://offcampus.dasa.ncsu.edu/housing/property/village-green-student-living/ocpepvxvln"
"ocpgxr290w","Spacious Forest Park Two-Room Suite + Private Bath - Walk to Campus (Includes Utilities)","$1,225","1.604060636",">1–3 mi","2 Beds","Private bedroom","","2026-09-20","Yes — explicit","Confirmed exclusive bedroom","I am looking for one housemate who will have private ""suite"" of rooms on the second floor of the house.","20","https://offcampus.dasa.ncsu.edu/housing/property/spacious-forest-park-two-room-suite-private-bath-walk-to-campus-includes-utilities/ocpgxr290w"
"ocpsd8dpj6","Spacious En-suite with private patio and garage parking in Crescent Ridge Townhome Community","$900","2.725369678",">1–3 mi","1 Bed","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","Spacious En-suite with private patio and garage parking in Crescent Ridge Townhome Community","11","https://offcampus.dasa.ncsu.edu/housing/property/spacious-en-suite-with-private-patio-and-garage-parking-in-crescent-ridge-townhome-community/ocpsd8dpj6"
"xcp87fm","Tryon Flats Apartments","$750","2.49322786",">1–3 mi","4 Beds","Private bedroom","","2026-09-20","Unknown","Unclear from saved text","Tryon Flats Apartments","23","https://offcampus.dasa.ncsu.edu/housing/property/tryon-flats-apartments/xcp87fm"
