listing_id,listing,advertised_price,rent_low,rent_high,midpoint,main_distance_miles,main_distance_band,original_listing_url
9m73sq5,Room in Townhome on Macedonia Lake Dr,$800,800.00,800.00,800.00,4.036728026,>3–5 mi,https://offcampus.dasa.ncsu.edu/housing/property/room-in-townhome-on-macedonia-lake-dr/9m73sq5
ocpvgtpebg,Lake Park Condos- Room Rental with Utilities,$500 - $600,500.00,600.00,550.00,1.637356936,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/lake-park-condos-room-rental-with-utilities/ocpvgtpebg
5hme2mn,The Station Raleigh,"$749 - $1,930",749.00,1930.00,1339.50,2.173712249,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/the-station-raleigh/5hme2mn
lpl9fce,"2850 Sanderford Rd (Raleigh, NC)",$650,650.00,650.00,650.00,4.772916888,>3–5 mi,https://offcampus.dasa.ncsu.edu/housing/property/2850-sanderford-rd-raleigh-nc/lpl9fce
ocpd9wnxdk,$3600 saving on 2*2 Sublet at Stanhope Apartment for NC STATE,$550,550.00,550.00,550.00,0.702468111,0–1 mi,https://offcampus.dasa.ncsu.edu/housing/property/3600-saving-on-2-2-sublet-at-stanhope-apartment-for-nc-state/ocpd9wnxdk
ocp67ldb5s,The Wilde,$860,860.00,860.00,860.00,2.038270328,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/the-wilde/ocp67ldb5s
ocp0psn632,An apartments with 3 bed and 3 bath for NC State Students www.ncstudentsliving.com,$650,650.00,650.00,650.00,2.262000465,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/an-apartments-with-3-bed-and-3-bath-for-nc-state-students-www-ncstudentsliving-com/ocp0psn632
ocpk5yz73b,Stanhope Student Apartments,"$1,300",1300.00,1300.00,1300.00,0.702468111,0–1 mi,https://offcampus.dasa.ncsu.edu/housing/property/stanhope-student-apartments/ocpk5yz73b
ocp5lwrmvq,"Convenient Kaplan Dr property near NCSU buses, park, grocery, with parking space & private bathroom",$675,675.00,675.00,675.00,0.716855117,0–1 mi,https://offcampus.dasa.ncsu.edu/housing/property/convenient-kaplan-dr-property-near-ncsu-buses-park-grocery-with-parking-space-and-private-bathroom/ocp5lwrmvq
ocpq292qyw,1st Month FREE!,$625,625.00,625.00,625.00,2.215850713,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/1st-month-free/ocpq292qyw
ocpsnmx4w4,"""Avery Close "" condos room available across from Centennial Campus NCSU NC State Raleigh",$750,750.00,750.00,750.00,0.376048105,0–1 mi,https://offcampus.dasa.ncsu.edu/housing/property/avery-close-condos-room-available-across-from-centennial-campus-ncsu-nc-state-raleigh/ocpsnmx4w4
