site_id,property_name,college_id,college_name,distance_miles,is_target
"tqbb2mb","Room in House on Okelly St","355","1070 Partners Way","1.5","false"
"tqbb2mb","Room in House on Okelly St","511","1060 William Moore Dr","1.23","false"
"ocp176ghy4","Campus Crossings Raleigh","354","2610 Cates Avenue","200","false"
"ocp176ghy4","Campus Crossings Raleigh","355","1070 Partners Way","200","false"
"ocp176ghy4","Campus Crossings Raleigh","511","1060 William Moore Dr","200","false"
"qcvpeqz","1431 Collegiate Cir (Raleigh, NC)","354","2610 Cates Avenue","1.75","false"
"qcvpeqz","1431 Collegiate Cir (Raleigh, NC)","355","1070 Partners Way","1.19","true"
"qcvpeqz","1431 Collegiate Cir (Raleigh, NC)","511","1060 William Moore Dr","3.23","false"
"ocpqe84m5z","University Commons, close to Wolfline Stops","354","2610 Cates Avenue","0.48","false"
"ocpqe84m5z","University Commons, close to Wolfline Stops","355","1070 Partners Way","0.64","false"
"ocpqe84m5z","University Commons, close to Wolfline Stops","511","1060 William Moore Dr","2.26","false"
"c1v4mzd","Room in House on Henslowe Dr","354","2610 Cates Avenue","2.77","false"
"c1v4mzd","Room in House on Henslowe Dr","355","1070 Partners Way","0.77","true"
"c1v4mzd","Room in House on Henslowe Dr","511","1060 William Moore Dr","5.99","false"
"ocpx51p4tm","Condo near NCSU","354","2610 Cates Avenue","1.77","false"
"ocpx51p4tm","Condo near NCSU","355","1070 Partners Way","1.11","false"
"ocpx51p4tm","Condo near NCSU","511","1060 William Moore Dr","3.06","false"
"x5wd0zn","Room in House on Pineland Cir","354","2610 Cates Avenue","1.44","true"
"x5wd0zn","Room in House on Pineland Cir","355","1070 Partners Way","2.65","false"
"x5wd0zn","Room in House on Pineland Cir","511","1060 William Moore Dr","1.28","false"
"ocphdtdgk2","105 Friendly Drive! Furnished Room Rentals with Utilities!","354","2610 Cates Avenue","0.05","false"
