site_id,property_name,category_id,category_name,amenity_id,amenity_name
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","Unit Features","Unit Features","21","Hardwood Floors"
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","Unit Features","Unit Features","303","High-Speed Internet Available"
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","Unit Features","Unit Features","468","Loft"
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","Unit Features","Unit Features","71","Outdoor Space"
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","Unit Features","Unit Features","6","Patio, Balcony, Porch or Deck"
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","Unit Features","Unit Features","41","Smoke-Free"
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","Security","Security","95","Dead-Bolt Locks"
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","Security","Security","99","Exterior Lighting"
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","Security","Security","25","Security System"
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","Community Features","Community Features","45","Fitness Room"
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","Community Features","Community Features","46","Individual Leases"
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","Community Features","Community Features","43","International Student Friendly"
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","Laundry","Laundry","9","Washer/Dryer in Unit"
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","Convenient For","Convenient For","981","Undergraduates"
"mc0h4yh","The Reserve at Patterson Place","Lease Information","Lease Information","16","12 month lease"
"mc0h4yh","The Reserve at Patterson Place","Lease Information","Lease Information","17","9 month lease"
"mc0h4yh","The Reserve at Patterson Place","Lease Information","Lease Information","18","Flexible/Other lease"
"mc0h4yh","The Reserve at Patterson Place","Lease Information","Lease Information","42","Short-Term lease"
"mc0h4yh","The Reserve at Patterson Place","Unit Features","Unit Features","1","Air Conditioning"
"mc0h4yh","The Reserve at Patterson Place","Unit Features","Unit Features","20","Carpet"
"mc0h4yh","The Reserve at Patterson Place","Unit Features","Unit Features","26","Dishwasher"
"mc0h4yh","The Reserve at Patterson Place","Unit Features","Unit Features","80","Extra Storage"
"mc0h4yh","The Reserve at Patterson Place","Unit Features","Unit Features","82","Garbage Disposal"
"mc0h4yh","The Reserve at Patterson Place","Unit Features","Unit Features","21","Hardwood Floors"
"mc0h4yh","The Reserve at Patterson Place","Unit Features","Unit Features","303","High-Speed Internet Available"
"mc0h4yh","The Reserve at Patterson Place","Unit Features","Unit Features","6","Patio, Balcony, Porch or Deck"
"mc0h4yh","The Reserve at Patterson Place","Unit Features","Unit Features","41","Smoke-Free"
"mc0h4yh","The Reserve at Patterson Place","Community Features","Community Features","265","Clubhouse"
"mc0h4yh","The Reserve at Patterson Place","Community Features","Community Features","81","Elevator"
"mc0h4yh","The Reserve at Patterson Place","Community Features","Community Features","45","Fitness Room"
"mc0h4yh","The Reserve at Patterson Place","Community Features","Community Features","10","Pool"
"mc0h4yh","The Reserve at Patterson Place","Laundry","Laundry","9","Washer/Dryer in Unit"
"mc0h4yh","The Reserve at Patterson Place","Convenient For","Convenient For","981","Undergraduates"
"mc0h4yh","The Reserve at Patterson Place","Convenient For","Convenient For","982","Graduate Students"
"mc0h4yh","The Reserve at Patterson Place","Convenient For","Convenient For","983","Faculty/Staff"
"mc0h4yh","The Reserve at Patterson Place","Unique Features","Unique Features","","Bike Storage"
"mc0h4yh","The Reserve at Patterson Place","Unique Features","Unique Features","","Ceiling Fan in Bedrooms"
"mc0h4yh","The Reserve at Patterson Place","Unique Features","Unique Features","","Contemporary Washed Pine Finished Cabinets"
"mc0h4yh","The Reserve at Patterson Place","Unique Features","Unique Features","","Demonstration Kitchen"
"mc0h4yh","The Reserve at Patterson Place","Unique Features","Unique Features","","Den/Office"
"mc0h4yh","The Reserve at Patterson Place","Unique Features","Unique Features","","Electric Vehicle Charging Stations"
"mc0h4yh","The Reserve at Patterson Place","Unique Features","Unique Features","","Full Size Washer & Dryer"
"mc0h4yh","The Reserve at Patterson Place","Unique Features","Unique Features","","Glass Tile Kitchen Backsplash"
"mc0h4yh","The Reserve at Patterson Place","Unique Features","Unique Features","","Hammock"
"mc0h4yh","The Reserve at Patterson Place","Unique Features","Unique Features","","Kitchen Island"
"mc0h4yh","The Reserve at Patterson Place","Unique Features","Unique Features","","Onsite Dog Park"
"mc0h4yh","The Reserve at Patterson Place","Unique Features","Unique Features","","Pearl Quartz Countertops"
"mc0h4yh","The Reserve at Patterson Place","Unique Features","Unique Features","","Pet Spa"
"mc0h4yh","The Reserve at Patterson Place","Unique Features","Unique Features","","Pet-Friendly Living"
"mc0h4yh","The Reserve at Patterson Place","Unique Features","Unique Features","","Poolside Grilling Stations"
"mc0h4yh","The Reserve at Patterson Place","Unique Features","Unique Features","","Private Patio, Balcony or Wraparound Balcony"
"mc0h4yh","The Reserve at Patterson Place","Unique Features","Unique Features","","Programmable Thermostats"
"mc0h4yh","The Reserve at Patterson Place","Unique Features","Unique Features","","Resident Lounge with Billiards"
"mc0h4yh","The Reserve at Patterson Place","Unique Features","Unique Features","","Resident Storage Available"
"mc0h4yh","The Reserve at Patterson Place","Unique Features","Unique Features","","Scenic Wooded Views"
"mc0h4yh","The Reserve at Patterson Place","Unique Features","Unique Features","","Spacious 1, 2 & 3 Bedroom Layouts"
"mc0h4yh","The Reserve at Patterson Place","Unique Features","Unique Features","","Unique 2-Level Layouts with Private Garage"
"mc0h4yh","The Reserve at Patterson Place","Unique Features","Unique Features","","Walnut Plank Flooring in Living Areas"
"mc0h4yh","The Reserve at Patterson Place","Unique Features","Unique Features","","Yoga Room"
"ocpchygggd","Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!","Lease Information","Lease Information","17","9 month lease"
"ocpchygggd","Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!","Unit Features","Unit Features","1","Air Conditioning"
"ocpchygggd","Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!","Unit Features","Unit Features","26","Dishwasher"
